Cycles	Run	Rn
1	1	gapdh*A1_cdh1_1	1.0526
2	2	gapdh*A1_cdh1_1	1.0538
3	3	gapdh*A1_cdh1_1	1.0561
4	4	gapdh*A1_cdh1_1	1.0574
5	5	gapdh*A1_cdh1_1	1.0602
6	6	gapdh*A1_cdh1_1	1.0605
7	7	gapdh*A1_cdh1_1	1.0606
8	8	gapdh*A1_cdh1_1	1.0611
9	9	gapdh*A1_cdh1_1	1.06
10	10	gapdh*A1_cdh1_1	1.0611
11	11	gapdh*A1_cdh1_1	1.0605
12	12	gapdh*A1_cdh1_1	1.0593
13	13	gapdh*A1_cdh1_1	1.0601
14	14	gapdh*A1_cdh1_1	1.0611
15	15	gapdh*A1_cdh1_1	1.0585
16	16	gapdh*A1_cdh1_1	1.0592
17	17	gapdh*A1_cdh1_1	1.0592
18	18	gapdh*A1_cdh1_1	1.059
19	19	gapdh*A1_cdh1_1	1.0578
20	20	gapdh*A1_cdh1_1	1.0582
21	21	gapdh*A1_cdh1_1	1.0592
22	22	gapdh*A1_cdh1_1	1.0598
23	23	gapdh*A1_cdh1_1	1.0609
24	24	gapdh*A1_cdh1_1	1.06
25	25	gapdh*A1_cdh1_1	1.0593
26	26	gapdh*A1_cdh1_1	1.0599
27	27	gapdh*A1_cdh1_1	1.0596
28	28	gapdh*A1_cdh1_1	1.0605
29	29	gapdh*A1_cdh1_1	1.0619
30	30	gapdh*A1_cdh1_1	1.0624
31	31	gapdh*A1_cdh1_1	1.0634
32	32	gapdh*A1_cdh1_1	1.0672
33	33	gapdh*A1_cdh1_1	1.0742
34	34	gapdh*A1_cdh1_1	1.0861
35	35	gapdh*A1_cdh1_1	1.1082
36	36	gapdh*A1_cdh1_1	1.1537
37	37	gapdh*A1_cdh1_1	1.2385
38	38	gapdh*A1_cdh1_1	1.3811
39	39	gapdh*A1_cdh1_1	1.5868
40	40	gapdh*A1_cdh1_1	1.8382
41	1	gapdh*A2_cdh1_1	1.0529
42	2	gapdh*A2_cdh1_1	1.0569
43	3	gapdh*A2_cdh1_1	1.0571
44	4	gapdh*A2_cdh1_1	1.0612
