Cycles	Run	Rn
1	1	cdh7a*A1_cdh2_1	1.7313
2	2	cdh7a*A1_cdh2_1	1.7189
3	3	cdh7a*A1_cdh2_1	1.7128
4	4	cdh7a*A1_cdh2_1	1.7128
5	5	cdh7a*A1_cdh2_1	1.7043
6	6	cdh7a*A1_cdh2_1	1.7012
7	7	cdh7a*A1_cdh2_1	1.699
8	8	cdh7a*A1_cdh2_1	1.6961
9	9	cdh7a*A1_cdh2_1	1.6936
10	10	cdh7a*A1_cdh2_1	1.6897
11	11	cdh7a*A1_cdh2_1	1.688
12	12	cdh7a*A1_cdh2_1	1.6883
13	13	cdh7a*A1_cdh2_1	1.6881
14	14	cdh7a*A1_cdh2_1	1.6648
15	15	cdh7a*A1_cdh2_1	1.6636
16	16	cdh7a*A1_cdh2_1	1.6629
17	17	cdh7a*A1_cdh2_1	1.6651
18	18	cdh7a*A1_cdh2_1	1.6648
19	19	cdh7a*A1_cdh2_1	1.6641
20	20	cdh7a*A1_cdh2_1	1.663
21	21	cdh7a*A1_cdh2_1	1.6619
22	22	cdh7a*A1_cdh2_1	1.6656
23	23	cdh7a*A1_cdh2_1	1.6641
24	24	cdh7a*A1_cdh2_1	1.6662
25	25	cdh7a*A1_cdh2_1	1.6639
26	26	cdh7a*A1_cdh2_1	1.6636
27	27	cdh7a*A1_cdh2_1	1.6648
28	28	cdh7a*A1_cdh2_1	1.6672
29	29	cdh7a*A1_cdh2_1	1.6688
30	30	cdh7a*A1_cdh2_1	1.6718
31	31	cdh7a*A1_cdh2_1	1.6782
32	32	cdh7a*A1_cdh2_1	1.6956
33	33	cdh7a*A1_cdh2_1	1.725
34	34	cdh7a*A1_cdh2_1	1.7807
35	35	cdh7a*A1_cdh2_1	1.8923
36	36	cdh7a*A1_cdh2_1	2.1009
37	37	cdh7a*A1_cdh2_1	2.4195
38	38	cdh7a*A1_cdh2_1	2.8174
39	39	cdh7a*A1_cdh2_1	3.2522
40	40	cdh7a*A1_cdh2_1	3.6743
41	1	cdh7a*A2_cdh2_1	1.7059
42	2	cdh7a*A2_cdh2_1	1.695
43	3	cdh7a*A2_cdh2_1	1.6921
44	4	cdh7a*A2_cdh2_1	1.6849
45	5	cdh7a*A2_cdh2_1	1.6833
46	6	cdh7a*A2_cdh2_1	1.6833
47	7	cdh7a*A2_cdh2_1	1.6808
48	8	cdh7a*A2_cdh2_1	1.6799
49	9	cdh7a*A2_cdh2_1	1.6779
50	10	cdh7a*A2_cdh2_1	1.6766
51	11	cdh7a*A2_cdh2_1	1.6781
52	12	cdh7a*A2_cdh2_1	1.6776
53	13	cdh7a*A2_cdh2_1	1.6773
54	14	cdh7a*A2_cdh2_1	1.6783
55	15	cdh7a*A2_cdh2_1	1.678
56	16	cdh7a*A2_cdh2_1	1.6792
57	17	cdh7a*A2_cdh2_1	1.6785
58	18	cdh7a*A2_cdh2_1	1.6779
59	19	cdh7a*A2_cdh2_1	1.6834
60	20	cdh7a*A2_cdh2_1	1.6785
61	21	cdh7a*A2_cdh2_1	1.6818
62	22	cdh7a*A2_cdh2_1	1.6771
63	23	cdh7a*A2_cdh2_1	1.6792
64	24	cdh7a*A2_cdh2_1	1.6816
65	25	cdh7a*A2_cdh2_1	1.6786
66	26	cdh7a*A2_cdh2_1	1.6797
67	27	cdh7a*A2_cdh2_1	1.6817
68	28	cdh7a*A2_cdh2_1	1.6831
69	29	cdh7a*A2_cdh2_1	1.683
70	30	cdh7a*A2_cdh2_1	1.6832
71	31	cdh7a*A2_cdh2_1	1.6861
72	32	cdh7a*A2_cdh2_1	1.6893
73	33	cdh7a*A2_cdh2_1	1.7008
74	34	cdh7a*A2_cdh2_1	1.7188
75	35	cdh7a*A2_cdh2_1	1.7531
76	36	cdh7a*A2_cdh2_1	1.822
77	37	cdh7a*A2_cdh2_1	1.9639
78	38	cdh7a*A2_cdh2_1	2.2014
79	39	cdh7a*A2_cdh2_1	2.5596
80	40	cdh7a*A2_cdh2_1	2.9802
81	1	cdh7a*A3_cdh2_1	1.7008
82	2	cdh7a*A3_cdh2_1	1.6923
83	3	cdh7a*A3_cdh2_1	1.7004
84	4	cdh7a*A3_cdh2_1	1.7151
85	5	cdh7a*A3_cdh2_1	1.7133
86	6	cdh7a*A3_cdh2_1	1.7079
87	7	cdh7a*A3_cdh2_1	1.7128
88	8	cdh7a*A3_cdh2_1	1.7088
89	9	cdh7a*A3_cdh2_1	1.7052
90	10	cdh7a*A3_cdh2_1	1.7031
91	11	cdh7a*A3_cdh2_1	1.7008
92	12	cdh7a*A3_cdh2_1	1.7027
93	13	cdh7a*A3_cdh2_1	1.6998
94	14	cdh7a*A3_cdh2_1	1.7008
95	15	cdh7a*A3_cdh2_1	1.6995
96	16	cdh7a*A3_cdh2_1	1.6992
97	17	cdh7a*A3_cdh2_1	1.6976
98	18	cdh7a*A3_cdh2_1	1.6971
99	19	cdh7a*A3_cdh2_1	1.6974
100	20	cdh7a*A3_cdh2_1	1.6978
101	21	cdh7a*A3_cdh2_1	1.6983
102	22	cdh7a*A3_cdh2_1	1.6963
103	23	cdh7a*A3_cdh2_1	1.6999
104	24	cdh7a*A3_cdh2_1	1.6967
105	25	cdh7a*A3_cdh2_1	1.7007
106	26	cdh7a*A3_cdh2_1	1.6964
107	27	cdh7a*A3_cdh2_1	1.7001
108	28	cdh7a*A3_cdh2_1	1.7038
109	29	cdh7a*A3_cdh2_1	1.7003
110	30	cdh7a*A3_cdh2_1	1.7016
111	31	cdh7a*A3_cdh2_1	1.7068
112	32	cdh7a*A3_cdh2_1	1.7137
113	33	cdh7a*A3_cdh2_1	1.7303
114	34	cdh7a*A3_cdh2_1	1.7602
115	35	cdh7a*A3_cdh2_1	1.822
116	36	cdh7a*A3_cdh2_1	1.9366
117	37	cdh7a*A3_cdh2_1	2.1555
118	38	cdh7a*A3_cdh2_1	2.4986
119	39	cdh7a*A3_cdh2_1	2.928
120	40	cdh7a*A3_cdh2_1	3.3785
121	1	cdh7a*A4_cdh2_2	1.7319
122	2	cdh7a*A4_cdh2_2	1.7334
123	3	cdh7a*A4_cdh2_2	1.7293
124	4	cdh7a*A4_cdh2_2	1.717
125	5	cdh7a*A4_cdh2_2	1.7212
126	6	cdh7a*A4_cdh2_2	1.7168
127	7	cdh7a*A4_cdh2_2	1.7117
128	8	cdh7a*A4_cdh2_2	1.7087
129	9	cdh7a*A4_cdh2_2	1.704
130	10	cdh7a*A4_cdh2_2	1.7099
131	11	cdh7a*A4_cdh2_2	1.7058
132	12	cdh7a*A4_cdh2_2	1.7071
133	13	cdh7a*A4_cdh2_2	1.7084
134	14	cdh7a*A4_cdh2_2	1.7059
135	15	cdh7a*A4_cdh2_2	1.7069
136	16	cdh7a*A4_cdh2_2	1.7062
137	17	cdh7a*A4_cdh2_2	1.7027
138	18	cdh7a*A4_cdh2_2	1.7023
139	19	cdh7a*A4_cdh2_2	1.707
140	20	cdh7a*A4_cdh2_2	1.7077
141	21	cdh7a*A4_cdh2_2	1.7081
142	22	cdh7a*A4_cdh2_2	1.7079
143	23	cdh7a*A4_cdh2_2	1.7026
144	24	cdh7a*A4_cdh2_2	1.7085
145	25	cdh7a*A4_cdh2_2	1.7061
146	26	cdh7a*A4_cdh2_2	1.7097
147	27	cdh7a*A4_cdh2_2	1.7074
148	28	cdh7a*A4_cdh2_2	1.7085
149	29	cdh7a*A4_cdh2_2	1.7073
150	30	cdh7a*A4_cdh2_2	1.7092
151	31	cdh7a*A4_cdh2_2	1.7104
152	32	cdh7a*A4_cdh2_2	1.7139
153	33	cdh7a*A4_cdh2_2	1.72
154	34	cdh7a*A4_cdh2_2	1.7294
155	35	cdh7a*A4_cdh2_2	1.7449
156	36	cdh7a*A4_cdh2_2	1.781
157	37	cdh7a*A4_cdh2_2	1.8477
