Cycles	Run	Rn
1	1	pdgfra*A1_pdg1-1	1.6647
2	2	pdgfra*A1_pdg1-1	1.6507
3	3	pdgfra*A1_pdg1-1	1.6416
4	4	pdgfra*A1_pdg1-1	1.6387
5	5	pdgfra*A1_pdg1-1	1.6357
6	6	pdgfra*A1_pdg1-1	1.6381
7	7	pdgfra*A1_pdg1-1	1.6374
8	8	pdgfra*A1_pdg1-1	1.6381
9	9	pdgfra*A1_pdg1-1	1.6342
10	10	pdgfra*A1_pdg1-1	1.6405
11	11	pdgfra*A1_pdg1-1	1.6374
12	12	pdgfra*A1_pdg1-1	1.6356
13	13	pdgfra*A1_pdg1-1	1.6372
14	14	pdgfra*A1_pdg1-1	1.639
15	15	pdgfra*A1_pdg1-1	1.642
16	16	pdgfra*A1_pdg1-1	1.6437
17	17	pdgfra*A1_pdg1-1	1.6411
18	18	pdgfra*A1_pdg1-1	1.6445
19	19	pdgfra*A1_pdg1-1	1.6448
20	20	pdgfra*A1_pdg1-1	1.6453
21	21	pdgfra*A1_pdg1-1	1.6482
22	22	pdgfra*A1_pdg1-1	1.6483
23	23	pdgfra*A1_pdg1-1	1.649
24	24	pdgfra*A1_pdg1-1	1.6517
25	25	pdgfra*A1_pdg1-1	1.659
26	26	pdgfra*A1_pdg1-1	1.6657
27	27	pdgfra*A1_pdg1-1	1.688
28	28	pdgfra*A1_pdg1-1	1.7267
29	29	pdgfra*A1_pdg1-1	1.8032
30	30	pdgfra*A1_pdg1-1	1.9545
31	31	pdgfra*A1_pdg1-1	2.2132
32	32	pdgfra*A1_pdg1-1	2.5954
33	33	pdgfra*A1_pdg1-1	3.0572
34	34	pdgfra*A1_pdg1-1	3.5226
35	35	pdgfra*A1_pdg1-1	3.9125
36	36	pdgfra*A1_pdg1-1	4.2555
37	37	pdgfra*A1_pdg1-1	4.5033
38	38	pdgfra*A1_pdg1-1	4.7095
39	39	pdgfra*A1_pdg1-1	4.8694
40	40	pdgfra*A1_pdg1-1	4.9953
41	1	pdgfra*A2_pdg1-1	1.725
42	2	pdgfra*A2_pdg1-1	1.7598
43	3	pdgfra*A2_pdg1-1	1.7457
44	4	pdgfra*A2_pdg1-1	1.7451
45	5	pdgfra*A2_pdg1-1	1.74
46	6	pdgfra*A2_pdg1-1	1.7364
47	7	pdgfra*A2_pdg1-1	1.7354
48	8	pdgfra*A2_pdg1-1	1.7378
49	9	pdgfra*A2_pdg1-1	1.7318
50	10	pdgfra*A2_pdg1-1	1.7342
51	11	pdgfra*A2_pdg1-1	1.7386
52	12	pdgfra*A2_pdg1-1	1.7328
53	13	pdgfra*A2_pdg1-1	1.7342
54	14	pdgfra*A2_pdg1-1	1.7391
55	15	pdgfra*A2_pdg1-1	1.7359
56	16	pdgfra*A2_pdg1-1	1.7394
57	17	pdgfra*A2_pdg1-1	1.7399
58	18	pdgfra*A2_pdg1-1	1.734
59	19	pdgfra*A2_pdg1-1	1.7405
60	20	pdgfra*A2_pdg1-1	1.7404
61	21	pdgfra*A2_pdg1-1	1.7396
62	22	pdgfra*A2_pdg1-1	1.7428
63	23	pdgfra*A2_pdg1-1	1.7456
64	24	pdgfra*A2_pdg1-1	1.7494
65	25	pdgfra*A2_pdg1-1	1.7558
66	26	pdgfra*A2_pdg1-1	1.7617
67	27	pdgfra*A2_pdg1-1	1.7872
68	28	pdgfra*A2_pdg1-1	1.8248
69	29	pdgfra*A2_pdg1-1	1.9015
70	30	pdgfra*A2_pdg1-1	2.0578
71	31	pdgfra*A2_pdg1-1	2.3403
72	32	pdgfra*A2_pdg1-1	2.7536
73	33	pdgfra*A2_pdg1-1	3.2544
74	34	pdgfra*A2_pdg1-1	3.774
75	35	pdgfra*A2_pdg1-1	4.2154
76	36	pdgfra*A2_pdg1-1	4.601
77	37	pdgfra*A2_pdg1-1	4.8975
78	38	pdgfra*A2_pdg1-1	5.1047
79	39	pdgfra*A2_pdg1-1	5.2885
80	40	pdgfra*A2_pdg1-1	5.429
81	1	pdgfra*A3_pdg1-1	1.5871
82	2	pdgfra*A3_pdg1-1	1.5995
83	3	pdgfra*A3_pdg1-1	1.6071
84	4	pdgfra*A3_pdg1-1	1.6206
85	5	pdgfra*A3_pdg1-1	1.637
86	6	pdgfra*A3_pdg1-1	1.6508
87	7	pdgfra*A3_pdg1-1	1.6653
88	8	pdgfra*A3_pdg1-1	1.6707
89	9	pdgfra*A3_pdg1-1	1.6763
90	10	pdgfra*A3_pdg1-1	1.6812
91	11	pdgfra*A3_pdg1-1	1.6863
92	12	pdgfra*A3_pdg1-1	1.6875
93	13	pdgfra*A3_pdg1-1	1.6899
94	14	pdgfra*A3_pdg1-1	1.6918
95	15	pdgfra*A3_pdg1-1	1.6941
96	16	pdgfra*A3_pdg1-1	1.6955
97	17	pdgfra*A3_pdg1-1	1.6935
98	18	pdgfra*A3_pdg1-1	1.6959
99	19	pdgfra*A3_pdg1-1	1.6978
100	20	pdgfra*A3_pdg1-1	1.7002
101	21	pdgfra*A3_pdg1-1	1.704
102	22	pdgfra*A3_pdg1-1	1.7058
103	23	pdgfra*A3_pdg1-1	1.7065
104	24	pdgfra*A3_pdg1-1	1.7086
105	25	pdgfra*A3_pdg1-1	1.7147
106	26	pdgfra*A3_pdg1-1	1.7282
107	27	pdgfra*A3_pdg1-1	1.7499
108	28	pdgfra*A3_pdg1-1	1.7914
