target_id	length	eff_length	est_counts	tpm
ENSDART00000189431.1	11	6.33333	0	0
ENSDART00000189226.1	10	5.33333	0	0
ENSDART00000172037.2	344	150.882	0	0
ENSDART00000165410.2	350	156.252	0	0
ENSDART00000163675.2	339	146.538	0	0
ENSDART00000172374.2	355	160.704	0	0
ENSDART00000161368.2	354	159.841	0	0
ENSDART00000171132.2	338	145.725	0	0
ENSDART00000170804.2	366	170.426	0	0
ENSDART00000160762.2	345	151.775	0	0
ENSDART00000167067.2	378	181.153	0	0
ENSDART00000161271.2	334	142.289	0	0
ENSDART00000163938.2	366	170.426	0	0
ENSDART00000161622.2	445	244.278	0	0
ENSDART00000162257.2	426	226.11	0	0
ENSDART00000158119.2	318	128.662	0	0
ENSDART00000169491.2	387	189.451	0	0
ENSDART00000172528.2	396	197.832	0	0
ENSDART00000166253.2	411	211.862	0	0
ENSDART00000160948.2	323	132.892	0	0
ENSDART00000161537.2	377	180.252	0	0
ENSDART00000159235.2	348	154.478	0	0
ENSDART00000171772.2	483	281.004	0	0
ENSDART00000167404.2	357	162.47	0	0
ENSDART00000171344.2	462	260.683	0	0
ENSDART00000168039.2	470	268.464	0	0
ENSDART00000157830.2	431	230.946	0	0
ENSDART00000166182.2	372	175.702	0	0
ENSDART00000167805.2	378	181.153	0	0
ENSDART00000159795.2	419	219.512	0	0
ENSDART00000160202.2	378	181.153	0	0
ENSDART00000163851.2	330	138.878	0	0
ENSDART00000161463.2	417	217.591	0	0
ENSDART00000164491.2	366	170.426	0	0
ENSDART00000158772.2	348	154.478	0	0
ENSDART00000167409.2	420	220.409	0	0
ENSDART00000160204.2	348	154.478	0	0
ENSDART00000166882.2	420	220.409	0	0
ENSDART00000171020.2	383	185.724	0	0
ENSDART00000162456.2	366	170.426	0	0
ENSDART00000164309.2	390	192.25	0	0
ENSDART00000160996.2	369	173.01	0	0
ENSDART00000166892.2	332	140.556	0	0
ENSDART00000171613.2	393	194.975	0	0
ENSDART00000164961.2	357	162.47	0	0
ENSDART00000164492.2	396	197.832	0	0
ENSDART00000158814.2	396	197.832	0	0
ENSDART00000171201.2	397	198.746	0	0
ENSDART00000164110.2	399	200.616	0	0
ENSDART00000166029.2	381	183.913	0	0
ENSDART00000165676.2	371	174.85	0	0
ENSDART00000163282.2	342	149.073	0	0
ENSDART00000167496.2	346	152.69	0	0
ENSDART00000164659.2	404	205.314	0	0
ENSDART00000164489.2	350	156.252	0	0
ENSDART00000160625.2	413	213.793	0	0
ENSDART00000169436.2	387	189.451	0	0
ENSDART00000170399.2	380	182.987	0	0
ENSDART00000162378.2	358	163.331	0	0
ENSDART00000169864.2	389	191.327	0	0
ENSDART00000164059.2	336	144.008	0	0
ENSDART00000168607.2	375	178.469	0	0
ENSDART00000161399.2	381	183.913	0	0
ENSDART00000171483.2	397	198.746	0	0
ENSDART00000171356.2	339	146.538	0	0
ENSDART00000172182.2	413	213.793	0	0
ENSDART00000113019.3	414	214.731	0	0
ENSDART00000170523.2	375	178.469	0	0
ENSDART00000160187.2	385	187.561	0	0
ENSDART00000114271.4	416	216.638	0	0
ENSDART00000159161.2	423	223.272	0	0
ENSDART00000162061.2	314	125.34	2	0.556638
ENSDART00000162709.3	4761	4557.21	2800.4	21.4364
ENSDART00000125149.3	3218	3014.21	0	0
ENSDART00000182440.1	3291	3087.21	242.161	2.73633
ENSDART00000168177.2	3370	3166.21	6.3356	0.0698039
ENSDART00000171570.2	1371	1167.21	1.6644	0.0497439
ENSDART00000162972.3	1568	1364.21	57.9327	1.4814
ENSDART00000007487.9	873	669.215	1407	73.3434
ENSDART00000168926.2	1724	1520.21	16	0.367153
ENSDART00000171190.2	3169	2965.21	160.522	1.88847
ENSDART00000167950.2	667	463.382	32.7563	2.46597
ENSDART00000165811.2	556	352.997	14.7417	1.45683
ENSDART00000170923.2	1670	1466.21	0	0
ENSDART00000169803.2	998	794.215	0	0
ENSDART00000169180.2	3210	3006.21	1604	18.613
ENSDART00000165795.2	1002	798.215	0	0
ENSDART00000079649.6	641	437.43	6	0.478493
ENSDART00000160925.2	4365	4161.21	49.262	0.412976
ENSDART00000188827.1	4409	4205.21	36.5255	0.302998
ENSDART00000159824.2	734	530.314	0	0
ENSDART00000171098.2	437	236.719	0	0
ENSDART00000160161.2	46	18.5882	0	0
ENSDART00000164734.2	55	22.2727	0	0
ENSDART00000162964.2	49	21.5882	0	0
ENSDART00000163969.2	49	21.5882	0	0
ENSDART00000170440.2	46	18.5882	0	0
ENSDART00000157393.2	52	20.1905	0	0
ENSDART00000166061.2	45	21.3571	0	0
ENSDART00000171447.2	49	21.5882	3	4.84771
ENSDART00000168385.2	60	20.9333	2	3.33291
ENSDART00000164889.2	63	22.5625	0	0
ENSDART00000167932.2	60	20.9333	0	0
ENSDART00000168960.2	63	22.5625	0	0
ENSDART00000160963.2	63	22.5625	0	0
ENSDART00000166210.2	60	20.9333	0	0
ENSDART00000172223.2	56	22.3043	0	0
ENSDART00000161734.2	64	22.8788	0	0
ENSDART00000170448.2	57	20	0	0
ENSDART00000161350.2	63	22.5625	0	0
ENSDART00000186687.1	63	22.5625	0	0
ENSDART00000158609.2	60	20.9333	0	0
ENSDART00000167576.2	63	22.5625	0	0
ENSDART00000186087.1	63	22.5625	0	0
ENSDART00000190142.1	66	20.3171	0	0
ENSDART00000180403.1	63	22.5625	0	0
ENSDART00000158148.2	63	22.5625	0	0
ENSDART00000166370.2	63	22.5625	0	0
ENSDART00000191760.1	63	22.5625	0	0
ENSDART00000159055.2	66	20.3171	0	0
ENSDART00000113547.3	903	699.215	5.81291e-07	2.90011e-08
ENSDART00000183757.1	63	22.5625	0	0
ENSDART00000180943.1	63	22.5625	0	0
ENSDART00000185656.1	66	20.3171	0	0
ENSDART00000170926.2	63	22.5625	0	0
ENSDART00000186681.1	66	20.3171	0	0
ENSDART00000182863.1	63	22.5625	0	0
ENSDART00000164894.2	66	20.3171	0	0
ENSDART00000164120.2	63	22.5625	0	0
ENSDART00000162352.2	60	20.9333	0	0
ENSDART00000191731.1	63	22.5625	0	0
ENSDART00000166454.2	57	20	0	0
ENSDART00000167581.2	57	20	0	0
ENSDART00000159473.2	63	22.5625	0	0
ENSDART00000182846.1	63	22.5625	0	0
ENSDART00000193507.1	66	20.3171	0	0
ENSDART00000193441.1	66	20.3171	0	0
ENSDART00000159092.2	63	22.5625	0	0
ENSDART00000162187.2	63	22.5625	0	0
