target_id	length	eff_length	est_counts	tpm
ENSDART00000189431.1	11	2	0	0
ENSDART00000189226.1	10	1	0	0
ENSDART00000172037.2	344	146.915	0	0
ENSDART00000165410.2	350	152.043	0	0
ENSDART00000163675.2	339	142.579	0	0
ENSDART00000172374.2	355	156.362	0	0
ENSDART00000161368.2	354	155.479	0	0
ENSDART00000171132.2	338	141.791	0	0
ENSDART00000170804.2	366	166.089	0	0
ENSDART00000160762.2	345	147.746	0	0
ENSDART00000167067.2	378	176.847	0	0
ENSDART00000161271.2	334	138.371	0	0
ENSDART00000163938.2	366	166.089	0	0
ENSDART00000161622.2	445	239.619	0	0
ENSDART00000162257.2	426	221.57	0	0
ENSDART00000158119.2	318	124.859	0	0
ENSDART00000169491.2	387	185.047	0	0
ENSDART00000172528.2	396	193.417	0	0
ENSDART00000166253.2	411	207.499	0	0
ENSDART00000160948.2	323	129.075	0	0
ENSDART00000161537.2	377	175.905	0	0
ENSDART00000159235.2	348	150.336	0	0
ENSDART00000171772.2	483	276.157	0	0
ENSDART00000167404.2	357	158.157	0	0
ENSDART00000171344.2	462	255.877	0	0
ENSDART00000168039.2	470	263.603	0	0
ENSDART00000157830.2	431	226.278	0	0
ENSDART00000166182.2	372	171.415	0	0
ENSDART00000167805.2	378	176.847	0	0
ENSDART00000159795.2	419	215.024	0	0
ENSDART00000160202.2	378	176.847	0	0
ENSDART00000163851.2	330	134.952	0	0
ENSDART00000161463.2	417	213.172	0	0
ENSDART00000164491.2	366	166.089	0	0
ENSDART00000158772.2	348	150.336	0	0
ENSDART00000167409.2	420	215.971	0	0
ENSDART00000160204.2	348	150.336	0	0
ENSDART00000166882.2	420	215.971	0	0
ENSDART00000171020.2	383	181.432	0	0
ENSDART00000162456.2	366	166.089	0	0
ENSDART00000164309.2	390	187.848	0	0
ENSDART00000160996.2	369	168.776	0	0
ENSDART00000166892.2	332	136.684	0	0
ENSDART00000171613.2	393	190.63	0	0
ENSDART00000164961.2	357	158.157	0	0
ENSDART00000164492.2	396	193.417	0	0
ENSDART00000158814.2	396	193.417	0	0
ENSDART00000171201.2	397	194.338	0	0
ENSDART00000164110.2	399	196.25	0	0
ENSDART00000166029.2	381	179.648	0	0
ENSDART00000165676.2	371	170.564	0	0
ENSDART00000163282.2	342	145.2	0	0
ENSDART00000167496.2	346	148.633	0	0
ENSDART00000164659.2	404	200.933	0	0
ENSDART00000164489.2	350	152.043	0	0
ENSDART00000160625.2	413	209.405	0	0
ENSDART00000169436.2	387	185.047	0	0
ENSDART00000170399.2	380	178.693	0	0
ENSDART00000162378.2	358	158.991	0	0
ENSDART00000169864.2	389	186.932	0	0
ENSDART00000164059.2	336	140.086	0	0
ENSDART00000168607.2	375	174.094	0	0
ENSDART00000161399.2	381	179.648	0	0
