target_id	length	eff_length	est_counts	tpm
ENSDART00000189431.1	11	2.33333	0	0
ENSDART00000189226.1	10	4	0	0
ENSDART00000172037.2	344	152.191	0	0
ENSDART00000165410.2	350	157.513	0	0
ENSDART00000163675.2	339	147.918	0	0
ENSDART00000172374.2	355	162.083	0	0
ENSDART00000161368.2	354	161.141	0	0
ENSDART00000171132.2	338	147.019	0	0
ENSDART00000170804.2	366	172.132	0	0
ENSDART00000160762.2	345	153.088	0	0
ENSDART00000167067.2	378	183.184	0	0
ENSDART00000161271.2	334	143.469	0	0
ENSDART00000163938.2	366	172.132	0	0
ENSDART00000161622.2	445	246.871	0	0
ENSDART00000162257.2	426	228.556	0	0
ENSDART00000158119.2	318	129.754	0	0
ENSDART00000169491.2	387	191.529	0	0
ENSDART00000172528.2	396	199.982	2	0.43754
ENSDART00000166253.2	411	214.207	0	0
ENSDART00000160948.2	323	133.969	0	0
ENSDART00000161537.2	377	182.257	0	0
ENSDART00000159235.2	348	155.739	0	0
ENSDART00000171772.2	483	283.654	0	0
ENSDART00000167404.2	357	163.915	0	0
ENSDART00000171344.2	462	263.25	0	0
ENSDART00000168039.2	470	270.981	0	0
ENSDART00000157830.2	431	233.293	0	0
ENSDART00000166182.2	372	177.609	0	0
ENSDART00000167805.2	378	183.184	0	0
ENSDART00000159795.2	419	221.852	0	0
ENSDART00000160202.2	378	183.184	0	0
ENSDART00000163851.2	330	140.07	0	0
ENSDART00000161463.2	417	219.959	0	0
ENSDART00000164491.2	366	172.132	0	0
ENSDART00000158772.2	348	155.739	0	0
ENSDART00000167409.2	420	222.745	0	0
ENSDART00000160204.2	348	155.739	0	0
ENSDART00000166882.2	420	222.745	0	0
ENSDART00000171020.2	383	187.756	0	0
ENSDART00000162456.2	366	172.132	0	0
ENSDART00000164309.2	390	194.444	0	0
ENSDART00000160996.2	369	174.9	0	0
ENSDART00000166892.2	332	141.735	0	0
ENSDART00000171613.2	393	197.193	0	0
ENSDART00000164961.2	357	163.915	0	0
ENSDART00000164492.2	396	199.982	0	0
ENSDART00000158814.2	396	199.982	0	0
ENSDART00000171201.2	397	200.965	0	0
ENSDART00000164110.2	399	202.813	0	0
ENSDART00000166029.2	381	185.93	0	0
ENSDART00000165676.2	371	176.696	0	0
ENSDART00000163282.2	342	150.478	0	0
ENSDART00000167496.2	346	153.997	0	0
ENSDART00000164659.2	404	207.542	0	0
ENSDART00000164489.2	350	157.513	0	0
ENSDART00000160625.2	413	216.151	0	0
ENSDART00000169436.2	387	191.529	0	0
ENSDART00000170399.2	380	185.053	0	0
ENSDART00000162378.2	358	164.819	0	0
ENSDART00000169864.2	389	193.478	0	0
ENSDART00000164059.2	336	145.258	0	0
ENSDART00000168607.2	375	180.402	0	0
ENSDART00000161399.2	381	185.93	0	0
ENSDART00000171483.2	397	200.965	0	0
ENSDART00000171356.2	339	147.918	0	0
ENSDART00000172182.2	413	216.151	0	0
ENSDART00000113019.3	414	217.113	0	0
ENSDART00000170523.2	375	180.402	0	0
ENSDART00000160187.2	385	189.639	0	0
ENSDART00000114271.4	416	219.036	0	0
ENSDART00000159161.2	423	225.666	0	0
ENSDART00000162061.2	314	126.277	3	1.03938
ENSDART00000162709.3	4761	4559.95	2469.19	23.6905
ENSDART00000125149.3	3218	3016.95	0	0
ENSDART00000182440.1	3291	3089.95	232.866	3.29711
ENSDART00000168177.2	3370	3168.95	0	0
ENSDART00000171570.2	1371	1169.95	0	0
ENSDART00000162972.3	1568	1366.95	99.1524	3.17343
ENSDART00000007487.9	873	671.951	990	64.458
ENSDART00000168926.2	1724	1522.95	11	0.315999
ENSDART00000171190.2	3169	2967.95	137.617	2.02859
ENSDART00000167950.2	667	466.03	13.77	1.2927
ENSDART00000165811.2	556	355.443	11.5488	1.42149
ENSDART00000170923.2	1670	1468.95	0	0
ENSDART00000169803.2	998	796.951	0	0
ENSDART00000169180.2	3210	3008.95	1265	18.3931
ENSDART00000165795.2	1002	800.951	0	0
ENSDART00000079649.6	641	440.05	0	0
ENSDART00000160925.2	4365	4163.95	82.7017	0.868935
ENSDART00000188827.1	4409	4207.95	0	0
ENSDART00000159824.2	734	533.03	0	0
ENSDART00000171098.2	437	239.159	0	0
ENSDART00000160161.2	46	20.2	0	0
ENSDART00000164734.2	55	17.8421	0	0
ENSDART00000162964.2	49	19.6667	0	0
ENSDART00000163969.2	49	19.6667	0	0
ENSDART00000170440.2	46	20.2	0	0
ENSDART00000157393.2	52	15.7222	0	0
ENSDART00000166061.2	45	19.2	0	0
ENSDART00000171447.2	49	19.6667	0	0
ENSDART00000168385.2	60	19.8636	0	0
ENSDART00000164889.2	63	18.963	0	0
ENSDART00000167932.2	60	19.8636	0	0
ENSDART00000168960.2	63	18.963	0	0
ENSDART00000160963.2	63	18.963	0	0
ENSDART00000166210.2	60	19.8636	0	0
